	sample1	sample2	sample3	sample4
TAS1R3	89	139	160	131
DVL1	1316	1029	2760	2911
MIR6808	0	0	0	0
MXRA8	1052	1440	194	282
AURKAIP1	1596	1119	2478	3566
CCNL2	4376	5562	2528	2567
MRPL20-AS1	359	348	392	592
MRPL20	1006	814	1377	1899
MRPL20-DT	105	116	123	185
ANKRD65	16	39	30	41
ANKRD65-AS1	2	13	10	12
TMEM88B	12	19	39	55
LINC01770	11	18	44	54
LOC107985729	9	20	63	65
VWA1	788	666	989	1529
ATAD3C	9	19	15	14
ATAD3B	1036	1102	1983	3118
ATAD3A	717	714	1772	2717
TMEM240	69	61	61	46
SSU72	1489	1238	3035	3325
FNDC10	93	100	340	270
LOC105378586	1	4	4	4
MIB2	1031	827	534	530
LOC124903821	171	203	74	77
MMP23B	186	266	60	61
CDK11B	619	588	975	959
SLC35E2B	3165	2778	2030	2358
MMP23A	7	5	1	1
CDK11A	238	338	184	182
SLC35E2A	1206	1209	406	371
LOC112268218	4	3	2	2
NADK	977	1016	1765	2051
GNB1	7497	7362	10807	10166
GNB1-DT	28	27	17	22
LOC124903822	5	14	13	6
CALML6	2	4	21	6
TMEM52	10	6	240	255
CFAP74	1	7	4	3
LOC107984872	1	1	0	1
LOC105378589	14	12	26	17
GABRD	40	33	29	17
LOC105378590	0	1	9	11
PRKCZ	561	548	763	766
PRKCZ-DT	1	1	1	6
PRKCZ-AS1	53	63	38	46
FAAP20	517	561	748	771
LOC112268219	91	135	115	146
LOC105378593	17	18	11	7
LOC124903823	2	5	0	0
SKI	3821	4803	3714	2987
LOC124903824	65	82	49	66
MORN1	203	323	154	178
LOC100129534	41	78	24	45
RER1	1549	1309	1745	2266
PEX10	533	410	378	638
PLCH2	41	110	56	44
PANK4	1559	1208	1226	1182
HES5	43	35	0	1
TNFRSF14-AS1	13	14	4	3
TNFRSF14	182	162	5	4
LOC100996583	15	17	3	2
PRXL2B	579	495	833	1121
MMEL1	0	11	3	2
MMEL1-AS1	2	3	1	0
TTC34	96	113	11	5
LOC105378602	0	0	0	0
LOC105378601	0	0	0	0
LOC112268220	0	0	0	0
LOC107985732	0	0	0	0
LOC105378600	0	0	0	0
LOC105378598	0	0	0	0
LOC107984904	0	0	0	0
LOC105378599	0	0	0	0
LOC124903825	0	0	0	0
LOC124903826	0	1	0	0
ACTRT2	0	0	0	0
LOC124903827	789	1223	2	2
PRDM16-DT	0	0	0	0
PRDM16	1294	1268	22	23
MIR4251	4	5	0	0
LOC105378606	5	13	0	0
LOC107984909	155	216	2	0
LOC105378605	16	41	0	0
LOC124903828	744	1188	2	2
LOC105378604	244	376	2	1
ARHGEF16	38	113	762	1060
MEGF6	1948	5092	1560	1640
LOC105378608	4	29	11	9
MIR551A	2	3	5	3
TPRG1L	723	618	570	485
WRAP73	322	347	757	858
TP73	54	107	273	161
TP73-AS3	5	4	3	0
TP73-AS1	1318	1193	1911	1945
CCDC27	56	36	16	15
SMIM1	179	114	65	66
LRRC47	2463	1883	4767	5095
CEP104	915	984	1125	1136
LOC124903829	38	25	18	12
DFFB	162	202	340	489
C1orf174	545	702	1145	1201
LINC01134	3	10	5	10
LINC01346	0	0	0	0
LINC01345	0	0	0	0
LINC01777	0	0	0	0
LOC105376674	0	0	0	0
LOC124904578	0	0	0	0
LINC01646	0	0	0	0
AJAP1	28	44	166	160
LINC02781	0	0	0	0
LOC124904589	0	0	0	0
LOC102724429	0	0	0	2
LINC02782	0	0	4	6
LOC105376682	0	0	0	3
LOC124904590	0	0	0	4
LOC107984911	0	0	0	0
LOC105376686	0	1	0	0
LOC124900451	0	0	0	0
LOC124903830	2	4	1	0
MIR4689	2	3	1	1
NPHP4	421	406	484	416
KCNAB2	119	177	505	274
LOC124903831	0	2	4	3
CHD5	22	91	95	88
RPL22	5788	5016	8244	7760
RNF207-AS1	94	65	5	8
RNF207	9752	6783	116	107
ICMT	3818	3301	6190	8346
ICMT-DT	7	2	99	129
HES3	0	6	154	218
GPR153	870	980	499	516
ACOT7	473	462	2871	3148
HES2	12	3	37	54
ESPN	22	198	903	487
MIR4252	0	0	0	1
TNFRSF25	186	239	239	297
PLEKHG5	670	912	1156	1210
NOL9	2407	2129	2957	4064
TAS1R1	0	9	11	2
LOC107984912	0	0	0	0
ZBTB48	495	458	420	549
KLHL21	3479	2447	1446	2104
LOC107984913	163	153	16	19
PHF13	1430	1328	1334	1661
THAP3	361	279	361	364
DNAJC11	1375	1134	2136	2294
LINC01672	0	0	0	0
LOC124904847	0	0	0	0
CAMTA1-DT	8	13	27	34
CAMTA1	1489	1946	1411	1146
LOC124903832	426	708	276	92
CAMTA1-AS3	0	1	0	0
LOC124900385	4	9	4	2
CAMTA1-AS2	1	5	2	1
CAMTA1-AS1	1	2	7	0
LOC105376691	15	3	0	0
LOC105376689	78	77	91	81
VAMP3	2329	2077	1454	1442
PER3	592	537	299	292
LOC124903833	16	23	4	5
UTS2	1	2	3	1
TNFRSF9	2	6	1	3
PARK7	3114	2557	4892	5622
LOC124903834	16	41	24	28
ERRFI1	473	650	1301	1231
ERRFI1-DT	22	44	4	3
LOC107984915	2	3	3	0
LINC01714	1	0	0	0
LOC105376695	0	0	0	0
LOC124903835	0	0	0	3
SLC45A1	31	44	15	17
RERE	4983	5035	2299	1580
RERE-AS1	31	61	13	5
SNORD128	7	9	2	4
LOC124900452	7	10	0	2
ENO1	30279	21727	129803	102066
MIR6728	4	2	7	6
ENO1-AS1	6	13	25	27
LOC112268261	1	2	0	0
CA6	0	0	0	0
SLC2A7	3	3	2	0
SLC2A5	50	18	2	3
LOC124900441	0	0	0	0
GPR157	260	203	308	203
MIR34AHG	27	59	673	577
MIR34A	0	0	0	0
LNCTAM34A	2	6	93	63
H6PD	4686	4522	792	510
LOC124903836	43	46	2	6
SPSB1	114	376	155	141
LINC02606	33	30	2	1
SLC25A33	275	326	786	929
TMEM201	1360	1029	1000	1261
LOC124903837	2	9	6	13
PIK3CD	421	471	1190	1112
LOC105376712	0	0	0	0
PIK3CD-AS1	2	5	3	3
PIK3CD-AS2	42	35	206	220
LOC124903839	2	8	6	8
CLSTN1	4853	4667	3646	3143
CTNNBIP1	1711	1207	1233	1151
LOC105376717	4	9	3	7
LOC124903838	36	31	11	12
LZIC	2564	2360	1058	1009
NMNAT1	902	768	315	256
TMEM274P	29	38	17	7
MIR5697	7	4	1	0
LOC124903840	5	3	0	0
RBP7	768	349	46	48
UBE4B	4367	3733	5351	5738
KIF1B	10168	8681	8912	6860
PGD	3273	3024	12175	12417
CENPS-CORT	2	0	6	6
CENPS	24	27	18	27
CORT	14	11	8	5
DFFA	1512	2090	6395	7579
PEX14	521	536	811	843
CASZ1	5476	3699	290	320
LOC105376733	2	0	14	10
LOC105376735	0	0	0	0
C1orf127	143	10	8	6
TARDBP	2917	3443	2870	2865
MASP2	169	194	77	53
SRM	856	965	2764	2678
EXOSC10	2207	2114	2865	3630
EXOSC10-AS1	3	6	4	15
MTOR	5127	4352	9384	9382
MTOR-AS1	19	27	8	8
LOC124904848	0	8	0	0
ANGPTL7	68	98	23	10
UBIAD1	875	714	910	1258
LOC105376737	1	1	1	1
LOC105376739	1	1	2	2
LOC105376740	0	2	6	5
LOC124903841	0	0	1	0
DISP3	14	49	328	295
LOC124903842	1	2	31	42
LINC01647	0	1	0	5
FBXO2	3	29	517	607
FBXO44	337	267	721	794
FBXO6	78	76	89	123
MAD2L2	544	420	4210	5071
DRAXIN	9	20	1628	2253
AGTRAP	323	294	1344	1372
C1orf167	2	2	41	31
C1orf167-AS1	0	0	3	4
MTHFR	2807	2072	674	732
CLCN6	990	871	884	840
NPPA-AS1	62	73	7	3
NPPA	78842	44749	5	10
NPPB	3539	3133	1	1
RNU5E-1	20	47	57	38
LOC124903843	5	3	6	8
KIAA2013	1526	1114	2217	2608
PLOD1	5247	4880	1076	1002
MFN2	11317	6932	3379	4142
MIIP	463	481	956	1456
MIR6729	0	0	1	0
TNFRSF8	27	32	1322	1962
MIR7846	0	0	0	0
TNFRSF1B	641	466	194	189
LOC124903844	12	15	3	0
MIR4632	1	0	0	0
VPS13D	8104	8099	4055	2807
LOC124903845	33	58	6	3
SNORA59A	11	20	7	8
LINC02766	23	41	1	5
DHRS3	2818	3496	345	335
MIR6730	4	3	0	0
AADACL4	1	1	0	0
LOC124903846	0	0	30	65
AADACL3	0	0	24	40
LOC124904811	0	0	0	0
CFAP107	0	1	0	0
PRAMEF12	0	1	0	0
PRAMEF1	0	0	0	0
LINC01784	0	0	0	0
PRAMEF11	1	0	0	0
HNRNPCL1	3	2	6	5
PRAMEF2	0	0	0	0
PRAMEF4	0	0	0	0
PRAMEF10	0	0	0	0
PRAMEF7	0	0	0	0
PRAMEF6	0	0	0	0
PRAMEF27	0	0	0	0
HNRNPCL3	0	0	1	1
PRAMEF25	0	0	0	0
PRAMEF34P	0	0	0	0
HNRNPCL2	0	0	2	2
PRAMEF36P	0	0	0	0
PRAMEF26	0	0	0	0
HNRNPCL4	1	0	1	3
PRAMEF9	0	0	0	0
PRAMEF13	0	0	0	0
PRAMEF18	0	0	0	0
PRAMEF5	0	0	0	0
PRAMEF8	0	0	0	0
PRAMEF33	0	0	0	0
PRAMEF15	0	0	0	0
PRAMEF14	0	0	0	0
PRAMEF19	0	0	0	0
PRAMEF17	0	0	0	0
PRAMEF20	1	0	0	0
LRRC38	0	4	1	2
LOC102724856	9	8	0	1
LOC107984918	0	0	0	0
PDPN	1437	1273	1702	2846
LOC105378612	0	1	0	0
LOC105376756	0	0	0	0
LOC124900446	2	0	0	0
PRDM2	2085	2547	1124	1003
KAZN	191	469	431	295
LOC107985467	23	83	13	4
LOC124903847	18	50	4	0
KAZN-AS1	0	2	0	3
LOC124903850	2	6	2	1
LOC105376759	4	12	2	0
LOC124903848	40	126	32	32
LOC107985469	2	8	1	2
LOC124903849	0	6	0	0
TMEM51-AS1	15	35	11	6
TMEM51	240	311	233	214
TMEM51-AS2	23	50	7	8
FHAD1	28	38	16	21
LOC124903853	1	3	0	2
LOC124903852	3	0	1	2
FHAD1-AS1	3	13	1	2
LOC124903851	7	13	2	0
EFHD2-AS1	3	7	5	2
EFHD2	376	357	555	679
CTRC	0	2	0	0
CELA2A	0	1	4	4
LOC105376767	0	1	3	1
CELA2B	10	10	12	4
CASP9	513	388	499	568
DNAJC16	1179	1319	1664	1566
SCARNA21B	5	7	7	2
AGMAT	36	29	324	441
LOC124903854	7	2	2	4
DDI2	2228	2065	2684	2897
RSC1A1	0	0	1	1
PLEKHM2	3617	2604	2174	2341
SLC25A34	144	150	13	32
SLC25A34-AS1	1	7	2	0
TMEM82	2	13	7	11
FBLIM1	3625	3474	2332	2963
UQCRHL	23	26	41	78
SPEN-AS1	314	214	266	237
SPEN	5388	5906	3907	2662
LOC124904815	7	2	0	0
ZBTB17	989	804	697	798
LOC124903855	142	285	53	24
SRARP	2	4	7	8
HSPB7	40577	23252	42	41
CLCNKA	54	36	30	16
CLCNKB	758	361	56	94
FAM131C	76	38	15	11
EPHA2	2197	1704	3933	4343
EPHA2-AS1	48	57	90	73
ARHGEF19	103	169	1750	2008
ANO7L1	10	12	6	4
CPLANE2	130	106	57	76
FBXO42	1642	1538	1739	1300
SZRD1	2760	1939	2747	3448
SPATA21	18	23	26	18
NECAP2	1132	1137	1062	1355
LINC01772	91	126	60	25
CROCCP3	495	708	292	216
RNU1-1	6	6	9	13
TRN-GTT5-1	0	0	11	8
LINC01783	7	3	30	36
TRE-TTC4-1	0	0	0	0
LOC124903856	0	0	0	0
TRG-CCC1-1	0	0	40	44
NBPF1	1004	1334	272	297
LOC124900584	365	536	739	807
CROCCP2	121	218	278	252
MST1P2	29	29	230	155
RNU1-3	0	0	0	0
LOC124903857	0	0	1	0
TRG-CCC4-1	0	1	26	13
ESPNP	1	2	35	14
LOC124903858	1	0	18	13
TRG-CCC5-1	2	0	49	49
LOC124903859	1	0	0	1
RNU1-4	0	2	2	1
MST1L	8	9	64	42
MIR3675	0	0	0	0
TRG-CCC1-2	0	0	27	16
LOC112267871	17	9	50	48
TRE-TTC3-1	0	0	0	0
LOC105376805	253	156	167	200
TRN-GTT4-1	7	3	5	0
RNU1-2	8	11	17	10
CROCC	1042	1218	3344	3157
MFAP2	813	1312	1440	1819
LOC105376806	106	174	70	111
ATP13A2	1161	1054	3726	4143
SDHB	2654	1585	2169	2503
PADI2	596	471	231	157
LOC124903861	6	4	1	0
LOC105376808	0	0	0	0
LINC02783	0	0	1	1
PADI1	1	2	3	14
PADI3	4	1	51	78
MIR3972	0	0	0	0
PADI4	3	2	7	18
PADI6	0	0	1	4
RCC2	2988	3083	16416	23189
RCC2-AS1	0	0	0	0
LOC124903862	2	3	26	17
LOC124904837	0	0	0	0
ARHGEF10L	2152	1584	1389	1630
LINC02810	0	0	0	0
ACTL8	0	2	40	38
LOC105376809	0	1	0	0
LOC105376812	0	0	0	0
LINC01654	0	0	0	0
IGSF21	3	8	484	386
IGSF21-AS1	0	0	8	0
LOC124903864	0	0	3	1
LOC124903863	2	2	368	420
LOC124903865	6	5	19	15
KLHDC7A	5	3	516	852
PAX7	5	3	2	5
TAS1R2	0	0	2	0
ALDH4A1	2294	1768	1287	1393
MIR4695	0	0	0	0
MIR1290	0	7	1	0
LOC124903866	19	18	1	5
IFFO2	558	560	1309	1165
LOC105376815	2	0	0	1
UBR4	29242	20101	18673	11694
EMC1-AS1	47	53	32	29
EMC1	2522	2719	3264	3511
MRTO4	860	860	1864	3068
AKR7L	11	13	23	18
AKR7A3	19	17	26	19
LOC124903867	87	91	77	60
LOC100506730	130	142	133	97
AKR7A2	1255	923	1253	1400
SLC66A1	425	439	540	899
CAPZB	3124	2956	3394	3119
LOC124903868	28	32	13	2
LOC124903869	19	28	6	2
LOC105376819	19	20	12	5
LOC105376818	2	2	0	1
LOC105376817	0	2	0	0
LOC124904816	0	1	0	0
MICOS10-DT	6	7	0	0
MICOS10-NBL1	0	0	0	0
MICOS10	1008	812	874	974
RPS14P3	72	83	197	248
NBL1	11	17	3	11
HTR6	1	3	19	6
TMCO4	321	322	269	253
RNF186	0	1	0	0
LOC105376823	0	0	0	0
OTUD3	973	1413	1604	1299
PLA2G2E	0	0	0	1
PLA2G2A	34	101	29	22
PLA2G5	1130	873	2	3
PLA2G2D	0	0	0	0
PLA2G2F	0	6	0	1
LOC117779438	0	1	0	0
PLA2G2C	0	2	3	0
UBXN10	73	93	62	79
LOC105376825	5	6	0	0
LOC105376826	0	0	5	5
LINC01757	0	1	0	0
LOC105376828	0	0	0	0
VWA5B1	4	3	65	39
LOC124903870	0	0	3	3
LINC01141	2	3	1	0
LOC124903871	0	0	0	0
CAMK2N1	117	131	43	51
MUL1	1139	867	784	915
FAM43B	33	49	120	142
CDA	3	15	223	159
PINK1	795	435	486	680
MIR6084	0	0	0	0
PINK1-AS	165	145	118	122
DDOST	4731	3980	9679	10402
KIF17	108	53	440	406
SH2D5	19	4	346	417
HP1BP3	7395	8190	3041	3197
EIF4G3	4829	4797	5406	5715
LOC105376830	16	25	10	5
LOC105376829	12	22	10	6
MIR1256	4	12	4	0
ECE1	6002	4858	2414	2693
LOC124903872	27	45	9	7
ECE1-AS1	36	38	13	13
LOC105376832	0	0	0	0
NBPF3	121	381	341	335
ALPL	81	112	6449	6529
LINC02596	0	0	1	0
RAP1GAP	541	494	547	481
USP48	2538	2833	3906	3972
LDLRAD2	58	50	11	19
HSPG2	52282	49322	9660	6252
CELA3B	0	0	1	0
CELA3A	1	0	0	2
LINC01635	11	11	22	19
LINC00339	191	209	497	555
CDC42	7605	6928	7090	7983
WNT4	89	142	51	30
LOC105376845	0	10	0	2
LOC105376850	6	4	2	2
LOC107985377	0	2	0	0
MIR4418	0	0	0	0
LOC105376856	12	9	1	0
ZBTB40	2895	2529	2623	2986
EPHA8	0	0	220	173
MIR6127	0	0	0	0
C1QA	273	189	0	2
C1QC	279	298	0	0
C1QB	287	212	1	0
EPHB2	600	2045	844	949
MIR4684	1	1	2	0
MIR4253	0	4	0	0
LOC124903874	3	17	1	1
LACTBL1	1	0	1	0
TEX46	1	2	1	1
KDM1A	5685	4824	16786	20280
MIR3115	6	5	3	3
LUZP1	4973	4784	3685	4395
HTR1D	7	3	42	42
LINC01355	388	710	119	54
HNRNPR	5816	6949	6326	7975
ZNF436	4968	2946	124	99
ZNF436-AS1	393	189	29	18
TCEA3	4117	2499	7	1
LOC124903875	55	59	20	21
ASAP3	2906	2708	2655	3202
E2F2	535	630	301	587
LOC101928163	11	16	9	10
LOC124903876	2	1	10	9
LOC105376859	9	11	58	42
ID3	2479	2291	4962	6487
LOC107984928	3	1	1	0
MDS2	0	0	1	0
RPL11	18685	14761	31246	30217
ELOA	2446	2063	2723	3561
ELOA-AS1	38	36	25	38
PITHD1	1007	1012	1770	2348
LOC105376860	1	16	19	10
LYPLA2	843	870	3015	4357
GALE	617	538	713	1029
HMGCL	617	511	999	609
LOC105376861	1	0	6	6
FUCA1	389	528	520	521
CNR2	2	4	2	0
MIR378F	0	0	0	0
LOC124903877	1	1	1	0
PNRC2	2606	2634	3109	4021
SRSF10	3772	4897	4676	6034
LOC105378615	0	0	0	0
LOC105376863	0	3	0	3
LOC107984931	0	0	0	0
MYOM3	84	39	7	14
MYOM3-AS1	1	0	0	0
LOC124903878	1	0	7	5
LOC105376864	1	0	9	5
IL22RA1	7	8	17	16
LOC124903879	337	166	348	402
IFNLR1	114	98	262	317
LINC02800	0	1	0	0
GRHL3-AS1	31	23	1	3
GRHL3	22	36	46	27
STPG1	185	205	226	199
NIPAL3	1278	916	482	596
RCAN3AS	0	2	3	2
RCAN3	670	751	963	1093
NCMAP-DT	0	0	1	0
NCMAP	22	15	16	12
SRRM1	3444	4466	5823	4677
LOC124904829	3	4	2	8
CLIC4	21283	16806	11815	11260
LOC105376876	0	4	0	0
RUNX3	7	57	92	22
MIR6731	0	0	1	0
RUNX3-AS1	0	6	4	2
MIR4425	0	0	0	0
LINC02793	0	1	0	0
LOC124903880	1	0	0	0
SYF2	955	774	1128	1298
LOC124903881	54	59	23	28
RSRP1	2073	3631	1121	1114
LOC105376882	0	1	0	1
RHD	78	52	22	13
TMEM50A	1695	1391	1816	2138
LOC124904823	1	5	1	2
RHCE	60	85	15	2
MACO1	977	1047	735	1066
LDLRAP1	672	587	561	823
MAN1C1	967	736	412	359
SELENON	4149	3697	3460	3117
MTFR1L	2286	1394	447	489
LOC646471	292	303	60	56
AUNIP	114	125	929	1069
PAQR7	351	582	447	472
STMN1	13290	13069	10656	13020
MIR3917	0	0	0	0
LOC105376885	1	0	1	1
PAFAH2	382	413	494	563
LOC124900433	1	2	0	0
EXTL1	223	305	69	72
SLC30A2	40	40	12	8
LOC105376910	31	21	0	0
TRIM63	6220	2856	1	0
PDIK1L	504	583	297	279
FAM110D	124	68	35	53
C1orf232	0	1	3	3
ZNF593OS	22	7	20	28
ZNF593	85	61	173	187
CNKSR1	128	171	264	289
CATSPER4	0	2	15	18
LOC124903882	6	1	4	5
ZPLD2P	14	15	46	56
CEP85	1640	1332	2504	2840
SH3BGRL3	590	615	1286	860
UBXN11	292	346	133	171
CD52	7	22	29	40
CRYBG2	29	3	450	498
ZNF683	1	1	1	3
LIN28A	3	1	73202	82007
LOC124903883	3	7	16	14
DHDDS	1041	1045	959	1231
DHDDS-AS1	66	83	11	13
HMGN2	7430	7159	5688	7170
LOC124903884	0	7	22	23
RPS6KA1	388	373	2970	3327
MIR1976	0	0	1	0
LOC124904769	0	0	0	0
LOC124904813	0	0	0	0
LOC105376888	2	2	1	0
LOC124900417	50	72	40	46
LOC101928728	0	0	0	0
ARID1A	8725	7671	6074	4914
PIGV	332	281	522	499
ZDHHC18	726	675	1382	1634
SFN	5	18	200	191
GPN2	797	640	936	1048
GPATCH3	269	224	362	415
NUDC	1691	1444	4212	4836
NR0B2	17	7	0	3
KDF1	5	21	643	762
OSTCP2	0	3	5	2
TRNP1	773	529	948	1298
TENT5B	140	80	2630	3704
LOC101928391	8	15	70	59
SLC9A1	467	664	399	317
LOC102723760	0	0	0	0
WDTC1-DT	0	0	2	0
WDTC1	2266	1724	1371	1484
TMEM222	710	591	481	629
ACTG1P20	94	151	80	78
SYTL1	107	348	380	311
MAP3K6	670	652	366	432
FCN3	22	15	18	10
CD164L2	1	5	77	65
GPR3	29	25	302	336
WASF2	5028	4944	3941	2671
LOC105376892	11	15	2	2
AHDC1	2702	2818	1333	1144
FGR	20	48	24	11
LINC02574	0	0	0	0
IFI6	387	377	97	114
FAM76A	651	662	560	597
STX12	1102	1234	400	376
LOC124903885	13	15	7	10
PPP1R8	1319	1180	1627	2003
SCARNA1	20	25	24	16
THEMIS2	67	59	505	627
RPA2	1323	1033	1569	2415
SMPDL3B	29	46	1011	1418
XKR8	329	327	719	787
EYA3	1944	1725	2340	2519
PTAFR	78	77	209	241
DNAJC8	2104	1787	4326	4965
ATP5IF1	2209	1677	2517	3191
SESN2	317	278	1403	1746
MED18	296	227	521	522
PHACTR4	2047	2169	2095	1886
SNHG3	520	733	3816	3698
RCC1	794	780	4110	4169
SNORA73A	2570	3614	6031	4083
SNORA73B	1028	2035	3031	1821
LOC124904836	2	9	19	17
TRNAU1AP	586	597	548	706
SNHG12	219	325	852	1014
SNORD99	10	14	40	55
SNORA61	0	0	0	0
SNORA44	0	3	1	4
SNORA16A	60	66	223	245
RAB42	167	262	201	305
TAF12	450	435	750	823
TAF12-DT	14	18	17	18
RNU11	0	0	0	0
GMEB1	827	859	1670	1597
LOC124904809	0	2	2	3
YTHDF2	2333	2496	5555	6395
OPRD1	81	105	149	198
EPB41	1331	1770	5873	6322
LOC124903886	2	10	7	1
TMEM200B	176	290	281	461
SRSF4	2310	3111	4768	3937
MECR	608	655	898	869
LOC124903887	33	52	28	16
PTPRU	922	1295	3313	2785
LINC01756	3	11	4	2
LOC107984933	0	0	1	0
LOC107984934	0	0	0	0
LINC01648	0	2	0	0
LOC105378617	1	3	0	1
LOC105378618	0	0	0	0
LOC124903888	0	2	0	0
MATN1	7	242	7	6
MATN1-AS1	19	42	12	3
LAPTM5	342	332	12	12
MIR4420	0	0	0	0
LOC105378620	3	16	4	3
LOC105378621	0	0	0	1
LINC01778	2	3	0	0
LOC400748	0	0	2	0
SDC3	3225	3587	1713	1677
PUM1	5598	5232	8592	8126
SNORD103A	0	0	0	0
SNORD103B	11	11	14	12
SNORD103C	11	12	12	18
LOC124904579	0	0	1	0
LOC107984935	7	8	12	7
NKAIN1	58	105	1432	1485
SNRNP40	1245	1200	3616	4596
ZCCHC17	1207	954	1694	2371
FABP3	25604	14712	481	386
LOC124903892	3	9	4	6
LOC105378623	2	2	0	0
SERINC2	143	287	595	609
LOC124903900	6	23	11	20
LOC105378625	3	1	4	1
LOC105379772	0	0	0	0
LDC1P	0	34	1	0
LINC01226	0	32	2	1
LOC124903917	0	4	2	0
LOC105378626	20	52	2	6
TINAGL1	1134	1735	335	295
HCRTR1	87	133	38	33
PEF1	1015	943	699	981
PEF1-AS1	64	151	12	17
COL16A1	6408	10568	566	761
LOC101929444	141	233	25	20
ADGRB2	2986	2378	1175	1219
MIR4254	0	0	0	0
LOC124903930	0	4	2	3
SPOCD1	4	23	48	35
PTP4A2	5533	5896	5663	6512
LOC128031832	0	0	0	0
KHDRBS1	5779	6250	7986	6431
TMEM39B	356	418	451	469
MIR5585	5	3	3	1
KPNA6	5601	4212	9088	10003
TXLNA	1596	1895	2113	2348
CCDC28B	544	491	444	348
IQCC	261	286	105	100
DCDC2B	106	129	20	16
TMEM234	381	395	196	251
EIF3I	4030	2989	8573	9898
MTMR9LP	325	465	239	248
FAM167B	34	22	44	50
LCK	11	239	2332	2548
HDAC1	2053	1927	3581	4172
MARCKSL1	4234	4164	9894	12691
LOC124903949	5	8	17	14
LOC105378629	8	4	1	1
LOC124903933	272	409	120	67
FAM229A	71	67	32	35
TSSK3	72	86	46	62
BSDC1	2403	2134	1532	2183
ZBTB8B	258	624	536	593
ZBTB8A	996	1851	745	733
LOC124903952	6	15	5	4
LOC102723870	13	29	22	24
ZBTB8OS	477	450	771	990
RBBP4	5987	5327	8079	8446
SYNC	204	236	4	8
KIAA1522	402	658	2415	2426
YARS1	1515	1511	10647	12024
S100PBP	1525	1835	2436	2547
FNDC5	448	692	45	48
LOC105378631	0	2	11	2
HPCA	6	16	25	13
TMEM54	32	72	143	122
LOC105378632	0	1	0	1
RNF19B	616	495	945	848
LOC107984936	4	13	3	2
AK2	3673	3281	4478	4253
LOC124903969	0	0	0	0
LOC105378635	2	1	1	2
AZIN2	142	178	73	63
ZNF362	1535	1817	672	810
TRIM62	184	228	377	422
A3GALT2	3	4	1	0
PHC2	3589	2592	484	495
MIR3605	8	11	1	2
PHC2-AS1	2	12	2	1
ZSCAN20	589	559	656	377
CSMD2	16	93	717	611
LOC124903976	0	1	15	5
HMGB4	0	1	5	2
CSMD2-AS1	0	0	8	5
C1orf94	0	2	113	155
LOC105378639	0	0	0	0
LOC105378641	0	0	0	0
MIR552	0	0	0	0
LOC105378642	5	3	2	0
GJB5	0	4	10	9
GJB4	0	6	6	12
GJB3	14	25	32	27
GJA4	1115	970	15	25
SMIM12	1142	925	912	1259
DLGAP3	11	11	228	362
GPR199P	39	66	23	34
TMEM35B	178	189	185	208
ZMYM6	753	994	624	680
LOC124903990	0	1	1	2
ZMYM1	961	1408	2360	2311
LOC105378644	2	12	7	2
SFPQ	14605	19729	14635	24902
ZMYM4	4994	4899	7048	7045
LOC124900419	1	7	3	0
ZMYM4-AS1	15	15	10	1
KIAA0319L	3695	2855	2658	2549
NCDN	1155	1026	948	1633
