	day30_rep3_tbx5_ge	day30_rep1_tbx5_ge	day30_rep2_tbx5_ge	day30_rep1_tbx5_oe	day30_rep2_tbx5_oe
MIR4253	0	0	0	0	0
LOC124903874	0	0	0	0	0
LACTBL1	3	0	1	1	0
TEX46	0	0	0	1	0
KDM1A	4890	2716	4063	4806	4199
MIR3115	0	0	0	0	0
LUZP1	7189	2420	4947	3580	5536
HTR1D	6	8	7	68	12
LINC01355	32	29	81	150	105
HNRNPR	6779	2845	5894	5744	5827
ZNF436	781	865	603	3302	2941
ZNF436-AS1	85	131	91	148	132
TCEA3	58	482	63	2220	1959
LOC124903875	3	6	1	18	18
ASAP3	684	1543	910	1998	2187
E2F2	19	69	97	251	80
LOC101928163	0	0	1	1	0
LOC124903876	1	0	0	1	2
LOC105376859	16	7	5	4	9
ID3	993	1802	2970	3696	2415
LOC107984928	6	5	3	5	5
MDS2	5	0	2	0	0
RPL11	10410	18981	14129	20585	19290
ELOA	4188	1089	2147	2237	2722
ELOA-AS1	16	17	10	34	26
PITHD1	2982	995	1224	1760	1652
LOC105376860	11	3	5	2	7
LYPLA2	2930	1384	3151	1627	1681
GALE	1078	547	1579	815	685
HMGCL	1088	600	442	814	972
LOC105376861	3	2	0	4	1
FUCA1	1843	658	480	316	417
CNR2	8	0	1	5	2
MIR378F	0	0	0	0	0
LOC124903877	1	0	1	1	0
PNRC2	3608	1882	2691	3284	3755
SRSF10	2228	2149	3502	5625	4684
LOC105378615	0	0	0	0	0
LOC105376863	0	1	0	1	1
LOC107984931	1	0	0	0	0
MYOM3	14	14	13	21	72
MYOM3-AS1	0	0	0	0	0
LOC124903878	0	0	0	1	0
LOC105376864	0	1	0	1	1
IL22RA1	2	0	4	7	8
LOC124903879	25	29	30	492	561
IFNLR1	137	28	61	136	160
LINC02800	0	0	0	0	0
GRHL3-AS1	0	0	1	0	0
GRHL3	29	7	12	17	29
STPG1	330	116	167	238	223
NIPAL3	1792	1896	1064	1175	1436
RCAN3AS	0	0	0	0	1
RCAN3	323	163	648	382	366
NCMAP-DT	0	0	0	0	0
NCMAP	16	19	4	12	12
SRRM1	4452	2036	2651	3934	3788
LOC124904829	0	0	0	0	1
CLIC4	8556	13822	11869	23248	25223
LOC105376876	0	2	0	0	1
RUNX3	105	8	13	16	17
MIR6731	0	0	0	0	0
RUNX3-AS1	1	0	2	0	0
MIR4425	0	0	0	0	0
LINC02793	0	0	0	0	0
LOC124903880	1	0	0	0	0
SYF2	4084	947	901	1879	1697
LOC124903881	35	19	21	42	40
RSRP1	1827	3105	1813	1782	2131
LOC105376882	0	0	0	0	0
RHD	3	0	1	0	0
TMEM50A	4547	2348	3070	3333	3270
LOC124904823	3	0	5	1	1
RHCE	24	21	9	13	47
MACO1	1876	817	1284	1093	1212
LDLRAP1	734	1205	801	632	1182
MAN1C1	359	3091	703	3801	3359
SELENON	2863	4841	3222	3347	4427
MTFR1L	971	916	701	1675	1880
LOC646471	119	213	166	183	278
AUNIP	83	33	121	99	73
PAQR7	1232	276	724	254	414
STMN1	1932	2382	4965	9201	6738
MIR3917	1	0	0	0	0
LOC105376885	0	0	0	0	0
PAFAH2	734	370	387	524	459
LOC124900433	0	0	1	1	0
EXTL1	49	604	200	1961	1382
SLC30A2	17	12	24	52	24
LOC105376910	4	1	0	5	3
TRIM63	399	2098	183	8499	7255
PDIK1L	207	144	138	442	327
FAM110D	31	72	106	76	88
C1orf232	0	0	0	7	2
ZNF593OS	19	9	24	11	8
ZNF593	99	52	63	81	102
CNKSR1	388	35	131	86	57
CATSPER4	8	0	0	1	0
LOC124903882	1	0	0	1	2
ZPLD2P	11	6	0	8	10
CEP85	463	401	699	847	831
SH3BGRL3	5460	1951	7144	465	957
UBXN11	202	382	410	413	490
CD52	4	0	2	0	0
CRYBG2	124	4	121	6	11
ZNF683	3	0	2	0	0
LIN28A	402	1	875	139	1
LOC124903883	31	5	4	1	1
DHDDS	2019	1188	1836	918	1429
DHDDS-AS1	8	8	4	9	11
HMGN2	7822	4840	6152	6957	7051
LOC124903884	0	0	0	0	0
RPS6KA1	1221	163	574	448	509
MIR1976	0	0	0	0	0
LOC124904769	0	0	0	0	0
LOC124904813	0	0	0	0	0
LOC105376888	0	0	1	0	1
LOC124900417	36	51	39	35	53
LOC101928728	0	0	0	0	0
ARID1A	11224	3988	6099	5108	5729
PIGV	178	276	179	210	338
ZDHHC18	1132	736	1496	635	929
SFN	13	3	177	2	6
GPN2	4771	817	1201	1558	1720
GPATCH3	1105	275	388	407	465
NUDC	9482	2230	4684	3662	3874
NR0B2	4	1	8	4	0
KDF1	33	2	50	4	3
OSTCP2	6	0	0	3	4
TRNP1	2920	1437	1227	721	1075
TENT5B	1509	239	960	376	554
LOC101928391	11	3	1	2	2
SLC9A1	3305	1227	1522	531	1437
LOC102723760	1	0	0	0	0
WDTC1-DT	0	0	0	0	0
WDTC1	1869	1811	1189	1884	2307
TMEM222	3281	1209	1187	1280	1230
ACTG1P20	83	31	60	27	51
SYTL1	132	99	103	92	129
MAP3K6	201	548	490	296	636
FCN3	3	2	3	2	3
CD164L2	1	0	1	0	3
GPR3	164	24	61	22	58
WASF2	7917	3390	3891	3453	4919
LOC105376892	3	9	2	13	15
AHDC1	2116	1644	2365	2433	3243
FGR	3	0	0	0	0
LINC02574	0	2	0	0	0
IFI6	870	821	361	800	917
FAM76A	126	142	266	366	421
STX12	1444	1003	1707	1388	2003
LOC124903885	2	2	1	1	0
PPP1R8	2018	855	1389	1809	1668
SCARNA1	0	1	3	1	2
THEMIS2	37	9	19	15	10
RPA2	1375	678	842	1446	1066
SMPDL3B	80	264	76	262	314
XKR8	1546	395	634	249	249
EYA3	1997	576	1052	1159	1521
PTAFR	94	4	72	12	5
DNAJC8	7086	2219	3290	5539	4675
ATP5IF1	3628	2237	2183	5041	5015
SESN2	6075	2745	1916	2097	3367
MED18	931	256	412	500	527
PHACTR4	1938	815	1597	1747	1855
SNHG3	717	377	1133	357	404
RCC1	3493	714	1669	778	784
SNORA73A	55	25	41	7	21
SNORA73B	20	2	18	3	11
LOC124904836	3	0	3	0	0
TRNAU1AP	484	330	549	782	609
SNHG12	495	251	515	460	367
SNORD99	5	3	10	10	8
SNORA61	0	0	0	0	0
SNORA44	3	1	4	0	3
SNORA16A	15	14	31	6	15
RAB42	59	83	103	66	91
TAF12	1433	507	521	792	706
TAF12-DT	2	2	1	5	4
RNU11	0	0	0	0	0
GMEB1	528	301	561	389	480
LOC124904809	1	0	0	0	0
YTHDF2	5693	1372	2554	3306	3393
OPRD1	58	16	16	23	13
EPB41	1569	863	1000	1648	872
LOC124903886	0	0	0	0	0
TMEM200B	948	528	1624	21	237
SRSF4	7516	2011	3561	3462	3791
MECR	451	572	538	618	778
LOC124903887	1	2	0	4	2
PTPRU	1182	3208	1392	778	1835
LINC01756	2	1	1	0	0
LOC107984933	1	0	1	1	1
LOC107984934	0	0	0	0	0
LINC01648	0	0	0	0	1
