	day7_rep1_wt	day7_rep2_wt	day7_rep1_mut	day7_rep2_mut
SSU72	472	308	509	417
FNDC10	56	52	50	50
LOC105378586	0	1	1	2
MIB2	86	79	72	76
LOC124903821	0	5	2	4
MMP23B	14	17	8	10
CDK11B	187	265	250	243
SLC35E2B	995	1020	854	840
MMP23A	0	0	0	0
CDK11A	89	102	102	85
SLC35E2A	341	332	297	291
LOC112268218	1	2	1	0
NADK	182	192	192	179
GNB1	4062	3357	3484	3153
GNB1-DT	5	6	4	2
LOC124903822	3	2	0	5
CALML6	0	0	1	0
TMEM52	7	1	2	8
CFAP74	1	2	0	0
LOC107984872	0	0	1	0
LOC105378589	1	0	1	0
GABRD	1	1	1	1
LOC105378590	0	0	1	0
PRKCZ	62	66	66	72
PRKCZ-DT	0	1	0	2
PRKCZ-AS1	82	93	40	63
FAAP20	86	96	111	83
LOC112268219	9	5	10	2
LOC105378593	1	5	1	0
LOC124903823	0	1	1	0
SKI	1026	1311	1179	1065
LOC124903824	12	49	35	31
MORN1	55	79	64	76
LOC100129534	45	32	46	34
RER1	721	656	695	629
PEX10	68	118	59	55
PLCH2	4	6	7	4
PANK4	120	122	117	113
HES5	1	1	0	0
TNFRSF14-AS1	0	2	0	0
TNFRSF14	0	0	0	0
LOC100996583	1	1	0	1
PRXL2B	101	92	89	66
MMEL1	1	0	0	0
MMEL1-AS1	0	0	0	0
TTC34	1	0	0	0
LOC105378602	0	0	0	0
LOC105378601	0	0	0	0
LOC112268220	0	0	0	0
LOC107985732	0	0	0	0
LOC105378600	0	0	0	0
LOC105378598	0	0	0	0
LOC107984904	0	0	0	0
LOC105378599	0	0	0	0
LOC124903825	0	0	0	0
LOC124903826	0	0	0	0
ACTRT2	0	1	0	0
LOC124903827	0	0	0	0
PRDM16-DT	0	0	0	0
PRDM16	16	12	34	31
MIR4251	0	0	0	0
LOC105378606	0	0	0	0
LOC107984909	0	0	1	0
LOC105378605	0	0	0	0
LOC124903828	0	0	0	0
LOC105378604	1	0	1	0
ARHGEF16	29	47	84	64
MEGF6	221	205	293	298
LOC105378608	1	2	0	0
MIR551A	0	1	0	2
TPRG1L	293	206	330	272
WRAP73	48	48	45	46
TP73	8	17	16	12
TP73-AS3	0	1	2	2
TP73-AS1	638	513	542	459
CCDC27	9	4	2	1
SMIM1	5	0	1	0
LRRC47	519	406	474	382
CEP104	854	797	715	717
LOC124903829	26	20	26	26
DFFB	56	39	26	26
C1orf174	211	142	169	143
LINC01134	1	4	1	4
LINC01346	0	0	0	0
LINC01345	0	0	0	0
LINC01777	0	0	0	0
LOC105376674	0	0	0	0
LOC124904578	0	0	0	0
LINC01646	0	0	0	0
AJAP1	2	0	0	0
LINC02781	0	0	0	0
LOC124904589	0	0	0	0
LOC102724429	0	0	0	0
LINC02782	0	0	0	0
LOC105376682	0	0	0	0
LOC124904590	0	0	0	0
LOC107984911	0	0	0	0
LOC105376686	0	1	0	0
LOC124900451	0	0	0	0
LOC124903830	1	1	0	0
MIR4689	0	0	0	0
NPHP4	186	233	188	224
KCNAB2	40	37	24	19
LOC124903831	0	0	1	0
CHD5	6	4	3	1
RPL22	3433	1942	3922	3680
RNF207-AS1	1	0	0	0
RNF207	248	187	170	137
ICMT	2034	1858	1746	1669
ICMT-DT	10	6	8	12
HES3	0	1	0	0
GPR153	24	24	15	13
ACOT7	357	344	357	322
HES2	0	1	1	1
ESPN	3	5	5	3
MIR4252	0	0	0	0
TNFRSF25	24	29	16	15
PLEKHG5	80	81	53	44
NOL9	1293	1195	1230	1147
TAS1R1	1	5	0	2
LOC107984912	1	0	0	0
ZBTB48	127	129	132	140
KLHL21	382	370	288	261
LOC107984913	29	26	18	23
PHF13	344	243	272	280
THAP3	41	25	48	27
DNAJC11	562	467	569	525
LINC01672	0	2	0	0
LOC124904847	0	0	0	0
CAMTA1-DT	0	1	0	3
CAMTA1	469	473	536	664
LOC124903832	132	168	166	268
CAMTA1-AS3	0	0	1	0
LOC124900385	4	1	0	1
CAMTA1-AS2	0	0	0	0
CAMTA1-AS1	0	0	0	0
LOC105376691	0	1	0	0
LOC105376689	7	11	16	9
VAMP3	1309	1162	1029	1004
PER3	34	34	30	27
LOC124903833	2	2	2	0
UTS2	3	2	6	10
TNFRSF9	2	4	1	4
PARK7	1226	703	1191	1026
LOC124903834	13	21	20	18
ERRFI1	1515	1722	3476	3365
ERRFI1-DT	0	13	9	19
LOC107984915	0	0	0	0
LINC01714	0	0	0	0
LOC105376695	0	0	0	0
LOC124903835	0	0	1	0
SLC45A1	3	3	4	4
RERE	4018	3734	4168	4092
RERE-AS1	16	17	17	28
SNORD128	1	3	2	7
LOC124900452	1	2	3	2
ENO1	4814	3285	4600	4496
MIR6728	0	1	0	0
ENO1-AS1	4	1	4	3
LOC112268261	0	0	1	0
CA6	0	0	0	0
SLC2A7	0	0	0	1
SLC2A5	0	0	0	0
LOC124900441	0	1	0	0
GPR157	33	35	59	49
MIR34AHG	14	5	5	7
MIR34A	0	0	0	0
LNCTAM34A	1	1	1	1
H6PD	247	252	267	208
LOC124903836	21	8	17	9
SPSB1	132	112	245	240
LINC02606	4	1	1	3
SLC25A33	157	128	179	140
TMEM201	323	330	242	234
LOC124903837	4	6	6	6
PIK3CD	33	30	45	25
LOC105376712	0	0	0	0
PIK3CD-AS1	0	0	0	0
PIK3CD-AS2	15	5	13	3
LOC124903839	0	2	1	0
CLSTN1	1008	1004	1038	948
CTNNBIP1	233	228	249	220
LOC105376717	1	2	0	1
LOC124903838	33	37	26	33
LZIC	497	389	391	352
NMNAT1	92	107	113	101
TMEM274P	7	6	8	4
MIR5697	2	0	1	1
LOC124903840	0	1	0	0
RBP7	11	11	13	14
UBE4B	1759	1664	1611	1578
KIF1B	1762	1950	1834	2314
PGD	2789	2271	2670	2650
CENPS-CORT	2	4	0	1
CENPS	11	9	14	14
CORT	8	4	3	1
DFFA	671	596	635	569
PEX14	159	174	188	176
CASZ1	202	240	53	50
LOC105376733	0	0	1	0
LOC105376735	0	1	0	0
C1orf127	0	0	0	0
TARDBP	3587	2717	3227	3478
MASP2	189	209	177	272
SRM	1687	1663	1514	1377
EXOSC10	1670	1504	1575	1482
EXOSC10-AS1	6	1	2	3
MTOR	2391	2228	2133	2165
MTOR-AS1	32	40	50	30
LOC124904848	4	10	3	13
ANGPTL7	81	83	61	73
UBIAD1	443	435	455	412
LOC105376737	0	0	1	2
LOC105376739	0	0	0	0
LOC105376740	1	0	1	0
LOC124903841	0	0	0	0
DISP3	21	22	21	19
LOC124903842	2	5	8	9
LINC01647	1	0	1	0
FBXO2	47	32	53	53
FBXO44	31	25	30	35
FBXO6	16	31	27	24
MAD2L2	400	302	409	371
DRAXIN	40	39	29	22
AGTRAP	88	71	81	74
C1orf167	0	0	1	0
C1orf167-AS1	0	0	0	0
MTHFR	194	190	131	125
CLCN6	431	356	352	327
NPPA-AS1	8	8	8	12
NPPA	155	165	63	56
NPPB	1871	1325	4167	3683
RNU5E-1	6	2	3	1
LOC124903843	8	3	4	2
KIAA2013	411	419	351	340
PLOD1	601	587	508	501
MFN2	2093	1643	2080	1890
MIIP	126	115	140	132
MIR6729	0	0	0	0
TNFRSF8	0	3	2	1
MIR7846	0	0	0	0
TNFRSF1B	8	10	35	42
LOC124903844	0	0	0	0
MIR4632	0	1	0	0
VPS13D	735	801	904	1091
LOC124903845	1	2	4	1
SNORA59A	2	0	1	0
LINC02766	2	2	2	1
DHRS3	404	352	838	782
MIR6730	0	0	1	0
AADACL4	1	0	1	1
LOC124903846	0	0	1	0
AADACL3	0	0	0	0
LOC124904811	0	0	0	0
CFAP107	0	1	2	1
PRAMEF12	0	0	0	0
PRAMEF1	0	0	0	0
LINC01784	0	0	0	0
PRAMEF11	0	0	0	0
HNRNPCL1	0	0	0	0
PRAMEF2	0	0	0	0
PRAMEF4	0	0	0	0
PRAMEF10	0	0	0	0
PRAMEF7	0	0	0	0
PRAMEF6	0	0	0	0
PRAMEF27	0	0	0	0
HNRNPCL3	0	4	3	7
PRAMEF25	0	0	0	0
PRAMEF34P	0	0	0	0
HNRNPCL2	0	0	0	0
PRAMEF36P	0	0	0	0
PRAMEF26	0	0	0	0
HNRNPCL4	0	0	0	0
PRAMEF9	0	0	0	0
PRAMEF13	0	0	0	0
PRAMEF18	0	0	0	0
PRAMEF5	0	0	0	0
PRAMEF8	0	0	0	0
PRAMEF33	0	0	0	0
PRAMEF15	0	0	0	0
PRAMEF14	0	0	0	0
PRAMEF19	0	0	0	0
PRAMEF17	0	0	0	0
PRAMEF20	0	0	0	0
LRRC38	0	0	0	0
LOC102724856	0	0	0	0
LOC107984918	0	0	0	0
PDPN	203	180	259	237
LOC105378612	0	0	0	0
LOC105376756	0	0	0	1
LOC124900446	2	0	0	0
PRDM2	1766	1761	1617	1965
KAZN	419	397	289	284
LOC107985467	9	11	7	18
LOC124903847	7	2	7	10
KAZN-AS1	0	0	0	0
LOC124903850	1	1	0	0
LOC105376759	6	4	3	1
LOC124903848	122	127	91	115
LOC107985469	9	4	15	12
LOC124903849	0	0	1	2
TMEM51-AS1	5	6	1	6
TMEM51	232	131	112	75
TMEM51-AS2	5	8	9	3
FHAD1	19	14	3	8
LOC124903853	1	2	0	0
LOC124903852	1	2	0	2
FHAD1-AS1	2	3	2	2
LOC124903851	1	5	2	1
EFHD2-AS1	3	2	2	2
EFHD2	94	120	92	102
CTRC	1	3	1	0
CELA2A	0	0	0	0
LOC105376767	1	0	0	0
CELA2B	1	8	2	5
CASP9	112	107	104	103
DNAJC16	627	607	528	566
SCARNA21B	0	2	2	0
AGMAT	28	14	26	26
LOC124903854	3	2	0	0
DDI2	389	491	425	628
RSC1A1	4	3	3	5
PLEKHM2	421	451	343	364
SLC25A34	19	39	25	27
SLC25A34-AS1	0	0	0	0
TMEM82	0	2	4	2
FBLIM1	287	289	520	437
UQCRHL	12	5	4	6
SPEN-AS1	24	28	35	34
SPEN	2619	2838	2146	2868
LOC124904815	1	0	0	0
ZBTB17	113	97	112	84
LOC124903855	232	246	206	180
SRARP	3	3	15	11
HSPB7	653	703	240	206
CLCNKA	62	68	27	37
CLCNKB	48	60	46	46
FAM131C	1	1	3	0
EPHA2	168	161	256	210
EPHA2-AS1	13	14	22	12
ARHGEF19	47	44	97	74
ANO7L1	13	10	8	2
CPLANE2	5	6	6	7
FBXO42	530	511	480	406
SZRD1	1086	884	969	891
SPATA21	20	11	21	15
NECAP2	456	404	452	413
LINC01772	22	24	16	8
CROCCP3	94	106	78	65
RNU1-1	2	2	0	3
TRN-GTT5-1	0	0	0	0
LINC01783	1	3	2	1
TRE-TTC4-1	0	0	0	0
LOC124903856	0	0	0	0
TRG-CCC1-1	1	2	1	2
NBPF1	461	575	416	416
LOC124900584	192	175	202	207
CROCCP2	8	15	9	17
MST1P2	23	18	29	38
RNU1-3	0	0	0	0
LOC124903857	0	0	0	0
TRG-CCC4-1	0	0	0	0
ESPNP	0	1	2	2
LOC124903858	0	1	1	0
TRG-CCC5-1	0	0	0	0
LOC124903859	0	0	1	0
RNU1-4	0	0	0	1
MST1L	13	6	19	21
MIR3675	0	0	0	0
TRG-CCC1-2	0	0	1	0
LOC112267871	2	3	3	2
TRE-TTC3-1	0	0	0	0
LOC105376805	8	20	13	4
TRN-GTT4-1	0	1	1	0
RNU1-2	2	2	1	5
CROCC	78	73	63	74
MFAP2	233	201	258	206
LOC105376806	6	6	8	13
ATP13A2	197	232	203	195
SDHB	336	282	269	244
PADI2	13	16	43	41
LOC124903861	0	3	0	0
LOC105376808	0	0	0	0
LINC02783	0	0	0	0
PADI1	0	5	3	0
PADI3	1	2	0	0
MIR3972	0	0	0	0
PADI4	0	1	1	0
PADI6	1	2	1	1
RCC2	1813	1388	2009	1707
RCC2-AS1	0	0	0	0
LOC124903862	2	4	10	7
LOC124904837	0	0	0	0
ARHGEF10L	159	177	157	168
LINC02810	0	0	0	1
ACTL8	32	19	33	28
LOC105376809	0	0	0	0
LOC105376812	0	0	0	0
LINC01654	0	0	0	0
IGSF21	16	9	38	39
IGSF21-AS1	2	3	15	16
LOC124903864	0	1	1	0
LOC124903863	10	9	31	33
LOC124903865	0	0	0	0
KLHDC7A	3	5	3	3
PAX7	39	32	1	2
TAS1R2	0	0	1	0
ALDH4A1	242	239	198	178
MIR4695	0	0	0	0
MIR1290	0	2	2	1
LOC124903866	1	7	1	7
IFFO2	111	117	368	366
LOC105376815	0	0	0	0
UBR4	8913	9538	8920	8838
EMC1-AS1	13	22	16	14
EMC1	1230	1052	1014	966
MRTO4	197	159	205	184
AKR7L	21	18	16	23
AKR7A3	11	18	8	9
LOC124903867	170	191	157	143
LOC100506730	181	170	128	117
AKR7A2	273	279	256	230
SLC66A1	166	142	210	148
CAPZB	1236	1024	1328	1133
LOC124903868	34	18	37	34
LOC124903869	8	10	9	5
LOC105376819	1	0	3	2
LOC105376818	0	0	0	2
LOC105376817	0	1	0	0
LOC124904816	0	0	0	0
MICOS10-DT	0	0	0	1
MICOS10-NBL1	0	0	0	0
MICOS10	355	188	332	338
RPS14P3	10	22	13	18
NBL1	0	0	1	0
HTR6	1	2	0	0
TMCO4	6	9	12	15
RNF186	0	0	0	0
LOC105376823	0	0	0	0
OTUD3	382	380	305	411
PLA2G2E	0	0	0	0
PLA2G2A	0	0	1	0
PLA2G5	4	0	0	0
PLA2G2D	0	0	0	0
PLA2G2F	0	0	0	0
LOC117779438	0	0	0	0
PLA2G2C	0	0	0	2
UBXN10	31	22	48	59
LOC105376825	6	2	0	0
LOC105376826	0	0	0	0
LINC01757	0	0	0	0
LOC105376828	0	0	0	0
VWA5B1	1	2	5	4
LOC124903870	1	0	0	2
LINC01141	0	0	0	1
LOC124903871	0	0	0	0
CAMK2N1	189	184	281	243
MUL1	273	181	214	196
FAM43B	2	2	2	1
CDA	8	10	10	13
PINK1	22	32	30	12
MIR6084	0	0	0	0
PINK1-AS	38	37	38	33
DDOST	686	599	693	689
KIF17	29	33	38	38
SH2D5	18	13	11	6
HP1BP3	3521	3185	2827	2770
EIF4G3	1263	1614	1289	1813
LOC105376830	10	6	6	4
LOC105376829	3	12	7	18
MIR1256	5	6	2	6
ECE1	1125	1091	1014	921
LOC124903872	5	15	4	4
ECE1-AS1	20	32	24	15
LOC105376832	0	0	0	0
NBPF3	73	73	78	56
ALPL	351	436	670	584
LINC02596	0	0	0	0
RAP1GAP	41	36	34	22
USP48	624	649	589	718
LDLRAD2	2	5	2	0
HSPG2	1108	1641	2335	2285
CELA3B	0	0	0	0
CELA3A	0	0	0	0
LINC01635	3	4	3	3
LINC00339	68	36	41	40
CDC42	1788	1667	2066	1880
WNT4	59	42	76	57
LOC105376845	2	0	3	2
LOC105376850	1	0	1	3
LOC107985377	0	0	0	0
MIR4418	0	0	0	0
LOC105376856	0	0	1	0
ZBTB40	493	470	418	423
EPHA8	2	3	3	5
MIR6127	0	0	0	0
C1QA	0	0	0	0
C1QC	0	0	0	0
C1QB	0	0	0	0
EPHB2	6307	5580	3559	3237
MIR4684	7	7	2	4
MIR4253	0	1	0	1
LOC124903874	34	30	22	17
LACTBL1	0	0	0	0
TEX46	1	0	1	3
KDM1A	3390	2932	3286	3038
MIR3115	1	0	0	0
LUZP1	2294	2082	3148	3071
HTR1D	1	1	4	5
LINC01355	34	88	58	83
HNRNPR	2752	2344	2809	3141
ZNF436	106	132	97	95
ZNF436-AS1	12	17	24	20
TCEA3	52	47	24	26
LOC124903875	8	7	8	5
ASAP3	106	148	131	106
E2F2	163	110	191	155
LOC101928163	6	2	4	5
LOC124903876	6	11	3	6
LOC105376859	19	10	10	21
ID3	1078	1224	1099	1007
LOC107984928	6	7	3	7
MDS2	0	0	0	0
RPL11	5498	3365	7010	6008
ELOA	865	852	669	679
ELOA-AS1	13	9	2	9
PITHD1	654	463	669	567
LOC105376860	0	3	2	0
LYPLA2	284	278	293	286
GALE	105	102	94	95
HMGCL	114	64	106	85
LOC105376861	0	0	0	0
FUCA1	48	66	58	53
CNR2	0	0	0	0
MIR378F	0	0	0	0
LOC124903877	0	1	0	1
PNRC2	433	434	413	535
SRSF10	89	127	86	115
LOC105378615	0	0	0	0
LOC105376863	0	0	0	0
LOC107984931	0	0	0	0
MYOM3	0	0	0	1
MYOM3-AS1	0	0	0	0
LOC124903878	0	0	0	0
LOC105376864	0	0	0	0
IL22RA1	0	0	1	1
LOC124903879	63	71	79	79
IFNLR1	27	26	38	26
LINC02800	0	0	0	0
GRHL3-AS1	1	0	1	0
GRHL3	12	7	24	23
STPG1	55	64	63	77
NIPAL3	101	69	79	107
RCAN3AS	0	0	0	0
RCAN3	104	87	146	148
NCMAP-DT	0	0	0	0
NCMAP	0	1	0	0
SRRM1	4251	4373	3803	4071
LOC124904829	0	0	0	1
CLIC4	2020	2861	2606	3236
LOC105376876	0	1	0	1
RUNX3	3	1	1	1
MIR6731	0	0	0	0
RUNX3-AS1	0	0	0	0
MIR4425	0	0	0	0
LINC02793	0	0	0	0
LOC124903880	0	1	0	0
SYF2	257	189	283	300
LOC124903881	10	7	10	10
RSRP1	178	170	151	159
LOC105376882	1	0	0	0
RHD	9	6	11	8
TMEM50A	1821	1494	1517	1434
LOC124904823	2	3	3	1
RHCE	12	5	6	4
MACO1	305	379	273	318
LDLRAP1	90	102	68	70
MAN1C1	25	25	11	14
SELENON	1529	1703	1529	1313
MTFR1L	294	236	227	218
LOC646471	64	57	47	35
AUNIP	137	134	216	190
PAQR7	147	125	137	106
STMN1	2191	1270	1853	1653
MIR3917	0	0	0	1
LOC105376885	0	0	0	0
PAFAH2	90	82	127	91
LOC124900433	0	1	0	0
EXTL1	32	20	12	11
SLC30A2	24	26	31	20
LOC105376910	0	1	1	1
TRIM63	31	20	5	6
PDIK1L	37	90	38	66
FAM110D	14	25	11	14
C1orf232	2	0	0	0
ZNF593OS	2	4	1	3
ZNF593	23	14	29	24
CNKSR1	90	123	173	152
CATSPER4	0	0	0	2
LOC124903882	0	0	0	0
ZPLD2P	0	1	1	1
CEP85	513	452	373	357
SH3BGRL3	519	680	682	596
UBXN11	126	108	113	95
CD52	3	1	4	6
CRYBG2	8	4	21	21
ZNF683	0	0	0	1
LIN28A	8808	7368	11301	10266
LOC124903883	0	0	0	0
DHDDS	749	696	714	755
DHDDS-AS1	36	38	21	18
HMGN2	3897	2532	3397	3222
LOC124903884	0	0	0	0
RPS6KA1	107	113	89	95
MIR1976	0	0	0	0
LOC124904769	0	0	0	0
LOC124904813	0	0	0	0
LOC105376888	7	8	4	6
LOC124900417	34	29	31	24
LOC101928728	0	0	0	0
ARID1A	6305	7081	5430	5150
PIGV	53	61	59	51
ZDHHC18	207	216	221	227
SFN	0	1	0	2
GPN2	271	263	305	260
GPATCH3	106	74	99	114
NUDC	1151	716	1145	1024
NR0B2	4	5	3	3
KDF1	11	15	48	34
OSTCP2	2	1	0	0
TRNP1	35	23	32	23
TENT5B	35	39	113	106
LOC101928391	0	0	0	0
SLC9A1	388	464	627	458
LOC102723760	0	0	0	0
WDTC1-DT	0	0	0	0
WDTC1	448	520	416	434
TMEM222	196	189	205	219
ACTG1P20	46	37	42	22
SYTL1	51	74	63	57
MAP3K6	44	60	29	39
FCN3	6	1	48	59
CD164L2	1	0	0	0
GPR3	41	63	73	40
WASF2	1934	2053	2053	1879
LOC105376892	18	25	8	20
AHDC1	491	676	312	304
FGR	1	0	1	3
LINC02574	0	0	0	0
IFI6	19	42	27	27
FAM76A	60	83	49	63
STX12	347	383	353	345
LOC124903885	2	2	1	4
PPP1R8	553	392	526	550
SCARNA1	9	7	9	14
THEMIS2	22	19	26	12
RPA2	854	605	809	753
SMPDL3B	41	52	94	101
XKR8	107	109	112	95
EYA3	918	883	795	798
PTAFR	4	5	14	8
DNAJC8	915	700	942	809
ATP5IF1	216	173	228	186
SESN2	643	583	1845	1750
MED18	33	9	29	21
PHACTR4	1439	1323	1096	1080
SNHG3	917	472	1044	962
RCC1	337	328	341	349
SNORA73A	42	25	77	72
SNORA73B	19	26	37	50
LOC124904836	3	3	2	1
TRNAU1AP	193	170	191	164
SNHG12	76	69	119	94
SNORD99	9	2	12	4
SNORA61	0	0	0	0
SNORA44	0	0	0	0
SNORA16A	7	3	3	4
RAB42	9	11	4	2
TAF12	167	112	165	127
TAF12-DT	9	6	9	4
RNU11	0	0	0	0
GMEB1	288	281	322	285
LOC124904809	0	0	0	0
YTHDF2	1119	1049	1093	1044
OPRD1	7	19	21	14
EPB41	1603	1825	1666	1836
LOC124903886	26	28	20	40
TMEM200B	51	74	38	48
SRSF4	2346	2113	1935	2315
MECR	167	158	174	155
LOC124903887	23	21	30	21
PTPRU	119	158	198	194
LINC01756	0	3	2	2
LOC107984933	0	0	0	0
LOC107984934	0	0	0	0
LINC01648	0	0	0	0
LOC105378617	0	0	0	0
LOC105378618	0	0	0	0
LOC124903888	0	1	0	0
MATN1	0	1	4	0
MATN1-AS1	1	3	1	1
LAPTM5	10	12	100	102
MIR4420	0	0	0	0
LOC105378620	0	0	2	1
LOC105378621	0	0	0	1
LINC01778	0	0	3	5
LOC400748	0	0	0	0
SDC3	921	1033	739	650
PUM1	2912	3007	2794	3245
SNORD103A	3	0	0	0
SNORD103B	3	1	3	3
SNORD103C	4	4	2	0
LOC124904579	0	0	0	0
LOC107984935	2	2	2	8
NKAIN1	254	287	267	234
SNRNP40	381	350	413	368
ZCCHC17	405	309	492	412
FABP3	83	76	41	42
LOC124903892	5	1	0	2
LOC105378623	0	0	0	0
SERINC2	41	68	71	88
LOC124903900	1	0	2	0
LOC105378625	0	0	0	1
LOC105379772	0	0	0	0
LDC1P	0	0	0	1
LINC01226	0	0	1	0
LOC124903917	0	0	1	1
LOC105378626	1	2	3	6
TINAGL1	2	4	7	4
HCRTR1	46	44	49	36
PEF1	284	241	286	216
PEF1-AS1	4	0	3	2
COL16A1	18	17	26	31
LOC101929444	3	1	2	1
ADGRB2	89	136	43	29
MIR4254	0	0	0	0
LOC124903930	1	0	1	0
SPOCD1	2	10	6	6
PTP4A2	2489	2405	2704	2523
LOC128031832	0	0	0	0
KHDRBS1	3569	3972	3369	3336
TMEM39B	274	312	299	283
MIR5585	0	1	3	0
KPNA6	2168	1996	2074	1781
TXLNA	472	512	613	573
CCDC28B	141	119	114	99
IQCC	63	86	80	77
DCDC2B	60	74	54	59
TMEM234	62	57	86	86
EIF3I	1129	689	1225	1027
MTMR9LP	22	42	48	40
FAM167B	2	1	1	2
LCK	1	0	2	2
HDAC1	1406	1068	1324	1331
MARCKSL1	1505	1182	1492	1364
LOC124903949	1	0	1	0
LOC105378629	0	2	1	0
LOC124903933	51	59	47	57
FAM229A	2	4	2	2
TSSK3	23	30	53	30
BSDC1	327	289	351	395
ZBTB8B	172	155	58	61
ZBTB8A	360	365	311	369
LOC124903952	13	10	22	13
LOC102723870	6	7	7	2
ZBTB8OS	255	217	251	258
RBBP4	2411	2286	2034	2126
SYNC	4	4	1	0
KIAA1522	208	266	234	225
YARS1	2888	2168	3284	3002
S100PBP	657	592	511	563
FNDC5	54	56	28	26
LOC105378631	1	1	0	0
HPCA	0	3	1	0
TMEM54	60	58	108	98
LOC105378632	0	0	0	2
RNF19B	196	172	136	131
LOC107984936	8	5	4	3
AK2	1243	1004	1061	931
LOC124903969	0	0	0	1
LOC105378635	0	0	0	1
AZIN2	42	26	31	29
ZNF362	909	1005	727	727
TRIM62	46	54	35	35
A3GALT2	3	3	3	6
PHC2	425	365	549	537
MIR3605	1	1	3	1
PHC2-AS1	6	2	3	2
ZSCAN20	174	173	134	141
CSMD2	39	24	30	28
LOC124903976	0	0	0	0
HMGB4	0	1	0	0
CSMD2-AS1	0	0	1	0
C1orf94	4	0	4	3
LOC105378639	0	0	0	0
LOC105378641	1	0	1	0
MIR552	0	0	0	0
LOC105378642	0	0	1	2
GJB5	1	1	1	0
GJB4	2	0	1	0
GJB3	2	5	9	8
GJA4	10	11	124	94
SMIM12	238	161	272	255
DLGAP3	11	8	13	10
GPR199P	6	22	17	11
TMEM35B	127	109	178	155
ZMYM6	168	203	155	200
LOC124903990	0	1	0	0
ZMYM1	231	254	198	221
LOC105378644	3	3	1	2
SFPQ	10012	8351	9001	9623
ZMYM4	1173	1333	1230	1586
LOC124900419	1	5	0	3
ZMYM4-AS1	0	3	5	3
KIAA0319L	767	764	696	667
NCDN	212	294	235	205
TFAP2E-AS1	1	0	4	0
TFAP2E	17	36	17	12
PSMB2	1779	1477	1527	1387
LOC105378646	0	0	0	0
C1orf216	52	60	42	55
CLSPN	644	815	678	871
AGO4	474	503	604	606
AGO1	1503	1371	1534	1566
AGO3	543	618	591	889
LOC105378647	7	13	8	23
TEKT2	2	1	2	5
ADPRS	117	69	119	100
COL8A2	7	3	2	5
TRAPPC3	158	125	142	144
MAP7D1	405	348	415	403
THRAP3	5225	4332	4573	4433
SH3D21	76	94	112	104
EVA1B	1	1	0	0
STK40	622	651	674	595
LOC124904012	38	26	86	51
LSM10	114	93	117	94
LOC124904013	1	6	1	1
OSCP1	107	79	93	82
SNORA63C	0	1	0	1
LOC107984940	3	8	4	3
