	day32_rep1_wt	day32_rep2_wt	day32_rep1_mut	day32_rep2_mut
TPRG1L	149	152	185	163
WRAP73	26	31	21	24
TP73	6	6	5	3
TP73-AS3	0	0	0	0
TP73-AS1	207	234	229	220
CCDC27	11	4	3	5
SMIM1	9	1	2	4
LRRC47	209	254	298	302
CEP104	305	326	299	278
LOC124903829	7	1	7	4
DFFB	18	23	28	26
C1orf174	70	100	78	95
LINC01134	0	0	1	1
LINC01346	0	0	0	0
LINC01345	0	0	0	0
LINC01777	0	0	0	0
LOC105376674	0	0	0	0
LOC124904578	0	0	0	0
LINC01646	0	0	0	0
AJAP1	0	0	0	1
LINC02781	0	0	0	0
LOC124904589	0	0	0	0
LOC102724429	0	0	0	0
LINC02782	0	0	0	0
LOC105376682	0	0	0	0
LOC124904590	0	0	0	0
LOC107984911	0	0	0	0
LOC105376686	0	0	0	0
LOC124900451	0	0	0	0
LOC124903830	2	1	0	0
MIR4689	0	0	0	0
NPHP4	33	66	43	43
KCNAB2	7	11	7	4
LOC124903831	0	0	1	0
CHD5	0	0	0	2
RPL22	1738	2168	1792	1902
RNF207-AS1	4	8	4	6
RNF207	802	850	587	576
ICMT	853	890	796	773
ICMT-DT	1	2	8	3
HES3	0	0	0	0
GPR153	39	50	32	47
ACOT7	142	151	165	195
HES2	0	1	0	0
ESPN	0	0	1	1
MIR4252	0	0	0	0
TNFRSF25	5	12	8	7
PLEKHG5	32	36	30	36
NOL9	357	430	404	373
TAS1R1	2	2	3	1
LOC107984912	0	0	0	0
ZBTB48	44	50	43	46
KLHL21	350	394	340	356
LOC107984913	19	31	36	36
PHF13	116	150	142	133
THAP3	36	36	21	25
DNAJC11	217	246	284	326
LINC01672	0	0	0	0
LOC124904847	0	0	0	0
CAMTA1-DT	4	4	1	1
CAMTA1	829	936	841	784
LOC124903832	457	400	452	439
CAMTA1-AS3	1	0	0	0
LOC124900385	2	3	3	9
CAMTA1-AS2	1	3	2	1
CAMTA1-AS1	0	0	0	0
LOC105376691	0	1	0	2
LOC105376689	15	11	10	5
VAMP3	988	1107	1114	1059
PER3	337	367	278	245
LOC124903833	17	15	22	11
UTS2	0	0	0	0
TNFRSF9	11	4	0	2
PARK7	721	866	898	897
LOC124903834	3	9	2	5
ERRFI1	240	238	191	224
ERRFI1-DT	2	3	1	2
LOC107984915	0	1	0	0
LINC01714	0	0	0	0
LOC105376695	0	0	0	0
LOC124903835	0	1	0	0
SLC45A1	2	3	7	9
RERE	1573	1633	1600	1683
RERE-AS1	17	15	13	21
SNORD128	3	5	1	1
LOC124900452	1	1	2	1
ENO1	1195	1233	1292	1287
MIR6728	0	1	0	0
ENO1-AS1	3	4	1	2
LOC112268261	0	0	1	0
CA6	1	0	0	1
SLC2A7	0	1	0	1
SLC2A5	2	1	2	0
LOC124900441	0	0	0	0
GPR157	14	19	24	23
MIR34AHG	23	35	26	27
MIR34A	0	0	0	0
LNCTAM34A	4	6	1	1
H6PD	169	194	177	164
LOC124903836	5	10	9	11
SPSB1	12	23	16	14
LINC02606	3	1	3	3
SLC25A33	64	69	64	58
TMEM201	93	98	116	109
LOC124903837	3	3	1	0
PIK3CD	25	18	6	23
LOC105376712	0	0	0	0
PIK3CD-AS1	0	0	0	0
PIK3CD-AS2	0	2	2	1
LOC124903839	0	0	0	0
CLSTN1	339	345	365	368
CTNNBIP1	128	131	200	188
LOC105376717	2	0	3	0
LOC124903838	18	13	14	21
LZIC	506	532	545	491
NMNAT1	203	212	234	233
TMEM274P	12	6	4	5
MIR5697	1	4	1	1
LOC124903840	0	0	0	0
RBP7	4	0	1	3
UBE4B	1271	1394	1477	1392
KIF1B	2689	2964	3547	3390
PGD	907	868	993	1024
CENPS-CORT	1	0	5	2
CENPS	11	15	12	19
CORT	5	4	4	3
DFFA	539	609	500	468
PEX14	80	96	110	74
CASZ1	837	878	769	859
LOC105376733	0	0	1	0
LOC105376735	0	1	0	0
C1orf127	0	0	1	3
TARDBP	2227	2431	2418	2450
MASP2	159	114	134	112
SRM	322	379	408	507
EXOSC10	652	744	617	655
EXOSC10-AS1	0	0	3	1
MTOR	1176	1255	1228	1133
MTOR-AS1	11	13	8	13
LOC124904848	1	2	4	1
ANGPTL7	42	48	21	29
UBIAD1	135	115	128	136
LOC105376737	0	0	0	0
LOC105376739	0	0	0	0
LOC105376740	0	0	0	0
LOC124903841	0	0	0	0
DISP3	2	0	0	0
LOC124903842	0	0	0	2
LINC01647	0	0	0	0
FBXO2	56	60	41	41
FBXO44	69	46	77	75
FBXO6	16	11	10	6
MAD2L2	111	152	127	107
DRAXIN	0	2	1	1
AGTRAP	49	54	40	46
C1orf167	4	1	1	2
C1orf167-AS1	0	1	0	0
MTHFR	222	216	190	190
CLCN6	361	418	410	369
NPPA-AS1	1	3	2	0
NPPA	5921	6842	1530	1730
NPPB	1527	1831	103	109
RNU5E-1	2	2	1	2
LOC124903843	9	12	5	6
KIAA2013	197	207	151	193
PLOD1	533	473	559	550
MFN2	2234	2329	2274	2386
MIIP	30	18	21	28
MIR6729	0	0	0	0
TNFRSF8	0	0	0	0
MIR7846	0	0	0	0
TNFRSF1B	2	3	1	1
LOC124903844	0	0	0	0
MIR4632	0	0	0	0
VPS13D	1063	1105	1227	1183
LOC124903845	4	4	3	3
SNORA59A	0	1	3	1
LINC02766	2	4	9	5
DHRS3	69	86	107	110
MIR6730	0	0	0	0
AADACL4	0	1	0	0
LOC124903846	1	0	0	0
AADACL3	0	0	0	1
LOC124904811	0	0	0	0
CFAP107	1	0	0	0
PRAMEF12	0	0	0	0
PRAMEF1	0	0	0	0
LINC01784	0	0	0	0
PRAMEF11	0	0	0	0
HNRNPCL1	0	0	0	0
PRAMEF2	0	0	0	0
PRAMEF4	0	0	0	0
PRAMEF10	0	0	0	0
PRAMEF7	0	0	0	0
PRAMEF6	0	0	0	0
PRAMEF27	0	0	0	0
HNRNPCL3	0	1	0	2
PRAMEF25	0	0	0	0
PRAMEF34P	0	0	0	0
HNRNPCL2	0	0	0	0
PRAMEF36P	0	0	0	0
PRAMEF26	0	0	0	0
HNRNPCL4	0	0	0	1
PRAMEF9	0	0	0	0
PRAMEF13	0	0	0	0
PRAMEF18	0	0	0	0
PRAMEF5	0	0	0	0
PRAMEF8	0	0	0	0
PRAMEF33	0	0	0	0
PRAMEF15	0	0	0	0
PRAMEF14	0	0	0	0
PRAMEF19	0	0	0	0
PRAMEF17	0	0	0	0
PRAMEF20	0	0	0	0
LRRC38	2	1	0	1
LOC102724856	1	1	0	0
LOC107984918	0	0	0	0
PDPN	307	349	245	227
LOC105378612	1	0	0	0
LOC105376756	0	0	0	0
LOC124900446	1	0	0	0
PRDM2	1383	1474	1249	1357
KAZN	76	89	74	88
LOC107985467	14	15	12	18
LOC124903847	9	5	10	10
KAZN-AS1	1	0	0	2
LOC124903850	1	5	1	3
LOC105376759	1	2	1	2
LOC124903848	56	35	45	37
LOC107985469	5	3	4	1
LOC124903849	0	1	0	0
TMEM51-AS1	9	9	10	8
TMEM51	142	176	216	202
TMEM51-AS2	11	14	18	10
FHAD1	16	8	26	18
LOC124903853	0	2	1	0
LOC124903852	2	1	1	3
FHAD1-AS1	3	1	0	0
LOC124903851	1	2	2	1
EFHD2-AS1	1	1	1	1
EFHD2	47	65	62	76
CTRC	1	0	0	0
CELA2A	0	0	0	2
LOC105376767	0	0	0	1
CELA2B	5	4	7	6
CASP9	85	142	131	148
DNAJC16	344	324	365	404
SCARNA21B	1	1	0	1
AGMAT	3	10	6	1
LOC124903854	0	0	0	0
DDI2	611	570	652	660
RSC1A1	1	4	3	0
PLEKHM2	245	239	209	226
SLC25A34	6	6	4	8
SLC25A34-AS1	0	0	0	0
TMEM82	0	0	1	0
FBLIM1	402	419	581	670
UQCRHL	13	16	10	10
SPEN-AS1	32	43	35	41
SPEN	1665	1760	1737	1872
LOC124904815	1	0	0	0
ZBTB17	71	62	58	57
LOC124903855	98	128	114	100
SRARP	0	1	1	0
HSPB7	9541	9406	8045	7966
CLCNKA	18	28	15	16
CLCNKB	46	57	54	49
FAM131C	3	3	4	6
EPHA2	169	215	132	128
EPHA2-AS1	16	16	8	6
ARHGEF19	2	2	5	2
ANO7L1	4	6	0	6
CPLANE2	2	8	7	4
FBXO42	345	332	271	258
SZRD1	505	499	567	586
SPATA21	7	4	3	5
NECAP2	83	78	73	82
LINC01772	9	10	7	8
CROCCP3	55	52	48	59
RNU1-1	1	1	0	0
TRN-GTT5-1	0	0	0	0
LINC01783	0	1	1	0
TRE-TTC4-1	0	0	0	0
LOC124903856	0	0	0	0
TRG-CCC1-1	0	1	0	0
NBPF1	236	264	251	240
LOC124900584	83	98	71	76
CROCCP2	5	3	5	1
MST1P2	2	1	3	3
RNU1-3	0	0	0	0
LOC124903857	0	0	0	0
TRG-CCC4-1	0	0	0	0
ESPNP	0	0	0	0
LOC124903858	0	0	0	0
TRG-CCC5-1	0	0	0	0
LOC124903859	0	0	0	0
RNU1-4	0	0	0	0
MST1L	0	3	1	4
MIR3675	0	0	0	0
TRG-CCC1-2	0	0	0	0
LOC112267871	1	1	0	0
TRE-TTC3-1	0	0	0	0
LOC105376805	14	12	5	5
TRN-GTT4-1	0	0	0	0
RNU1-2	1	0	0	0
CROCC	11	14	15	8
MFAP2	31	38	19	12
LOC105376806	0	1	1	0
ATP13A2	99	97	76	69
SDHB	411	513	523	579
PADI2	8	15	6	6
LOC124903861	0	0	0	0
LOC105376808	0	0	0	0
LINC02783	0	0	0	0
PADI1	3	1	0	0
PADI3	0	0	0	0
MIR3972	0	0	0	0
PADI4	0	0	0	0
PADI6	0	0	0	1
RCC2	267	291	323	280
RCC2-AS1	0	0	0	0
LOC124903862	0	0	3	2
LOC124904837	0	0	0	0
ARHGEF10L	143	144	102	122
LINC02810	0	0	0	0
ACTL8	23	32	39	41
LOC105376809	0	0	0	0
LOC105376812	0	0	0	0
LINC01654	0	0	0	0
IGSF21	0	0	0	0
IGSF21-AS1	0	0	0	0
LOC124903864	0	0	0	0
LOC124903863	0	0	0	0
LOC124903865	1	0	2	0
KLHDC7A	4	2	0	1
PAX7	0	1	0	1
TAS1R2	0	0	0	0
ALDH4A1	405	349	356	384
MIR4695	0	0	0	0
MIR1290	1	2	0	0
LOC124903866	9	2	1	1
IFFO2	69	62	55	50
LOC105376815	2	0	1	1
UBR4	6325	6004	9554	9641
EMC1-AS1	11	13	17	22
EMC1	377	451	428	397
MRTO4	73	64	57	54
AKR7L	3	9	4	11
AKR7A3	2	4	6	1
LOC124903867	42	50	45	56
LOC100506730	62	63	80	66
AKR7A2	83	102	117	113
SLC66A1	51	58	47	56
CAPZB	753	867	907	865
LOC124903868	22	32	24	18
LOC124903869	4	6	6	6
LOC105376819	1	0	3	1
LOC105376818	0	0	0	0
LOC105376817	1	0	0	0
LOC124904816	0	0	0	0
MICOS10-DT	0	2	1	4
MICOS10-NBL1	0	0	0	0
MICOS10	525	594	739	742
RPS14P3	20	20	16	13
NBL1	0	0	0	0
HTR6	0	0	0	0
TMCO4	22	35	23	25
RNF186	0	0	0	0
LOC105376823	0	0	0	0
OTUD3	434	414	373	320
PLA2G2E	0	0	0	0
PLA2G2A	0	0	0	2
PLA2G5	1	1	3	1
PLA2G2D	0	0	0	0
PLA2G2F	0	0	0	0
LOC117779438	0	1	1	0
PLA2G2C	0	0	1	0
UBXN10	21	15	19	17
LOC105376825	2	1	1	1
LOC105376826	0	0	0	0
LINC01757	0	0	0	0
LOC105376828	0	0	0	0
VWA5B1	2	5	1	3
LOC124903870	0	0	0	1
LINC01141	0	1	1	1
LOC124903871	0	0	0	0
CAMK2N1	23	28	15	12
MUL1	98	143	137	143
FAM43B	2	0	3	2
CDA	0	1	1	0
PINK1	36	45	37	35
MIR6084	0	0	0	0
PINK1-AS	18	25	21	13
DDOST	331	334	371	366
KIF17	3	4	3	0
SH2D5	0	6	1	0
HP1BP3	1410	1520	1265	1219
EIF4G3	1980	2194	2199	2281
LOC105376830	9	16	10	7
LOC105376829	22	16	17	12
MIR1256	9	9	4	5
ECE1	256	257	387	341
LOC124903872	2	2	6	3
ECE1-AS1	5	2	7	7
LOC105376832	0	0	0	0
NBPF3	53	44	30	34
ALPL	3	2	2	3
LINC02596	0	0	0	0
RAP1GAP	39	56	40	49
USP48	1086	1093	1052	1031
LDLRAD2	1	1	1	0
HSPG2	1280	1188	667	766
CELA3B	1	0	0	0
CELA3A	0	0	1	0
LINC01635	1	1	0	0
LINC00339	25	11	16	13
CDC42	985	1122	1215	1153
WNT4	9	9	15	14
LOC105376845	2	1	0	0
LOC105376850	2	0	3	2
LOC107985377	0	0	0	0
MIR4418	0	0	0	0
LOC105376856	1	0	3	0
ZBTB40	347	345	307	324
EPHA8	2	0	0	0
MIR6127	0	0	0	0
C1QA	0	0	0	0
C1QC	0	0	1	0
C1QB	1	0	0	0
EPHB2	316	332	502	532
MIR4684	1	0	0	0
MIR4253	0	0	1	0
LOC124903874	5	1	2	3
LACTBL1	0	0	0	0
TEX46	0	0	0	0
KDM1A	1152	1289	1349	1373
MIR3115	0	2	0	0
LUZP1	1261	1385	1443	1496
HTR1D	0	2	0	0
LINC01355	150	117	105	65
HNRNPR	1743	1838	1631	1623
ZNF436	590	555	770	674
ZNF436-AS1	32	31	44	43
TCEA3	783	944	846	944
LOC124903875	2	6	4	1
ASAP3	140	127	118	151
E2F2	25	29	29	26
LOC101928163	2	1	0	0
LOC124903876	0	0	2	0
LOC105376859	5	1	4	1
ID3	149	186	136	149
LOC107984928	4	5	12	8
MDS2	0	0	0	0
RPL11	2750	3243	2872	3143
ELOA	413	444	450	409
ELOA-AS1	9	4	12	10
PITHD1	200	278	243	244
LOC105376860	1	0	0	1
LYPLA2	81	85	83	88
GALE	82	87	56	69
HMGCL	87	72	84	85
LOC105376861	0	0	1	0
FUCA1	61	68	92	78
CNR2	0	1	0	1
MIR378F	0	0	0	0
LOC124903877	1	0	0	0
PNRC2	319	334	275	238
SRSF10	117	139	121	100
LOC105378615	0	0	0	0
LOC105376863	0	0	0	0
LOC107984931	0	0	0	0
MYOM3	4	3	13	8
MYOM3-AS1	0	0	0	0
LOC124903878	0	1	0	0
LOC105376864	0	1	4	0
IL22RA1	2	1	1	1
LOC124903879	96	104	135	119
IFNLR1	27	30	16	26
LINC02800	0	1	0	0
GRHL3-AS1	0	0	0	0
GRHL3	0	3	2	1
STPG1	30	36	19	21
NIPAL3	152	160	157	175
RCAN3AS	0	0	0	0
RCAN3	179	165	232	191
NCMAP-DT	0	0	0	0
NCMAP	0	1	0	1
SRRM1	1918	1966	1711	1915
LOC124904829	0	0	0	0
CLIC4	3452	3843	4292	4031
LOC105376876	1	1	0	1
RUNX3	0	0	0	0
MIR6731	0	0	0	0
RUNX3-AS1	0	0	0	0
MIR4425	0	0	0	0
LINC02793	0	0	0	0
LOC124903880	0	0	0	0
SYF2	246	325	279	230
LOC124903881	12	6	11	7
RSRP1	154	173	160	151
LOC105376882	0	0	0	0
RHD	10	0	10	4
TMEM50A	1062	1212	1272	1130
LOC124904823	2	3	0	0
RHCE	9	10	6	3
MACO1	265	276	271	304
LDLRAP1	69	83	84	92
MAN1C1	569	627	593	665
SELENON	836	808	1083	1123
MTFR1L	463	512	528	501
LOC646471	38	36	48	31
AUNIP	32	32	28	45
PAQR7	53	35	39	45
STMN1	877	1127	1628	1665
MIR3917	0	0	0	0
LOC105376885	0	0	0	0
PAFAH2	48	54	57	61
LOC124900433	0	1	0	1
EXTL1	70	62	53	42
SLC30A2	13	8	9	8
LOC105376910	10	4	4	3
TRIM63	334	395	428	446
PDIK1L	50	57	54	43
FAM110D	8	5	11	16
C1orf232	0	0	0	0
ZNF593OS	2	0	0	0
ZNF593	9	8	14	12
CNKSR1	27	25	21	10
CATSPER4	0	0	0	0
LOC124903882	0	1	0	1
ZPLD2P	1	3	2	0
CEP85	176	174	187	190
SH3BGRL3	111	124	111	149
UBXN11	45	41	44	42
CD52	1	0	0	0
CRYBG2	0	0	1	0
ZNF683	0	0	0	0
LIN28A	5	4	4	4
LOC124903883	0	1	0	0
DHDDS	253	270	262	254
DHDDS-AS1	17	12	12	8
HMGN2	1211	1335	1158	1132
LOC124903884	0	0	0	0
RPS6KA1	31	50	31	23
MIR1976	0	0	0	0
LOC124904769	0	0	0	0
LOC124904813	0	0	0	0
LOC105376888	4	0	1	2
LOC124900417	19	19	9	10
LOC101928728	0	0	0	0
ARID1A	2332	2327	1744	2063
PIGV	30	58	33	29
ZDHHC18	57	48	70	49
SFN	0	0	0	0
GPN2	130	134	108	158
GPATCH3	49	52	43	38
NUDC	465	531	534	608
NR0B2	1	4	4	1
KDF1	0	0	0	1
OSTCP2	0	0	0	0
TRNP1	52	67	82	100
TENT5B	18	36	11	11
LOC101928391	0	0	0	0
SLC9A1	154	136	194	218
LOC102723760	0	0	0	0
WDTC1-DT	0	0	0	0
WDTC1	256	239	265	258
TMEM222	70	65	74	81
ACTG1P20	13	25	19	15
SYTL1	23	24	15	25
MAP3K6	6	9	10	11
FCN3	0	1	2	0
CD164L2	0	0	0	0
GPR3	6	10	11	8
WASF2	930	1040	1045	1156
LOC105376892	16	15	10	9
AHDC1	253	246	211	264
FGR	0	0	1	0
LINC02574	0	0	0	0
IFI6	35	47	41	48
FAM76A	68	86	58	58
STX12	393	417	395	383
LOC124903885	3	4	2	3
PPP1R8	247	284	227	259
SCARNA1	8	4	2	7
THEMIS2	2	1	3	0
RPA2	404	415	405	344
SMPDL3B	44	64	40	53
XKR8	60	55	37	42
EYA3	715	775	737	786
PTAFR	4	1	1	2
DNAJC8	466	544	507	477
ATP5IF1	277	319	296	312
SESN2	93	107	86	90
MED18	8	10	5	12
PHACTR4	788	831	803	792
SNHG3	265	258	244	295
RCC1	40	42	28	34
SNORA73A	6	6	2	2
SNORA73B	4	4	3	5
LOC124904836	1	0	0	0
TRNAU1AP	95	124	111	119
SNHG12	22	20	12	21
SNORD99	1	3	2	3
SNORA61	0	0	0	0
SNORA44	0	0	1	1
SNORA16A	1	3	1	1
RAB42	3	2	4	7
TAF12	91	120	128	78
TAF12-DT	4	2	0	3
RNU11	0	0	0	0
GMEB1	185	154	174	162
LOC124904809	0	0	0	0
YTHDF2	565	615	525	476
OPRD1	6	4	3	1
EPB41	351	377	399	403
LOC124903886	4	3	4	3
TMEM200B	17	20	15	15
SRSF4	1311	1533	1263	1317
MECR	86	83	88	81
LOC124903887	7	11	12	14
PTPRU	174	168	67	80
LINC01756	4	2	2	3
LOC107984933	1	0	1	0
LOC107984934	0	0	0	0
LINC01648	0	0	0	0
LOC105378617	0	1	0	0
LOC105378618	0	0	0	0
LOC124903888	0	0	0	0
MATN1	3	2	3	2
MATN1-AS1	3	7	4	2
LAPTM5	0	2	4	0
MIR4420	0	0	0	0
LOC105378620	0	0	1	0
LOC105378621	0	0	0	0
LINC01778	11	16	7	7
LOC400748	0	0	0	0
SDC3	1075	1101	991	1167
PUM1	2165	2147	2021	1997
SNORD103A	0	0	0	0
SNORD103B	0	0	1	0
SNORD103C	4	2	1	0
LOC124904579	1	0	0	0
LOC107984935	1	0	3	0
NKAIN1	16	9	9	16
SNRNP40	136	163	133	119
ZCCHC17	291	376	298	295
FABP3	1015	1150	1225	1401
LOC124903892	5	2	2	2
LOC105378623	0	0	0	0
SERINC2	27	16	23	15
LOC124903900	1	0	0	0
LOC105378625	0	0	1	1
LOC105379772	0	0	0	0
LDC1P	0	0	0	0
LINC01226	0	0	1	0
LOC124903917	2	2	0	0
LOC105378626	0	1	0	2
TINAGL1	14	21	18	11
HCRTR1	21	24	17	10
PEF1	191	227	162	192
PEF1-AS1	4	2	4	4
COL16A1	192	196	213	205
LOC101929444	7	10	6	4
ADGRB2	436	476	330	347
MIR4254	0	0	0	0
LOC124903930	1	4	1	2
SPOCD1	0	2	3	2
PTP4A2	2013	2246	2165	2083
LOC128031832	0	0	0	0
KHDRBS1	1009	1148	1073	1133
TMEM39B	84	63	81	62
MIR5585	0	1	1	0
KPNA6	1199	1377	1186	1143
TXLNA	162	195	162	172
CCDC28B	94	93	74	90
IQCC	19	25	12	14
DCDC2B	19	11	17	16
TMEM234	51	55	55	57
EIF3I	623	659	610	682
MTMR9LP	3	8	0	7
FAM167B	0	0	1	0
LCK	0	0	0	1
HDAC1	433	485	462	489
MARCKSL1	301	405	403	354
LOC124903949	0	0	0	0
LOC105378629	0	0	1	0
LOC124903933	68	40	50	57
FAM229A	0	1	1	2
TSSK3	12	18	15	15
BSDC1	226	274	179	194
ZBTB8B	39	41	74	62
ZBTB8A	103	118	98	89
LOC124903952	0	5	1	1
LOC102723870	0	0	2	1
ZBTB8OS	147	167	162	197
RBBP4	934	1036	945	809
SYNC	10	10	16	19
KIAA1522	73	83	64	93
YARS1	783	866	985	952
S100PBP	466	482	487	453
FNDC5	68	81	72	83
LOC105378631	0	0	0	0
HPCA	0	1	2	0
TMEM54	15	20	16	17
LOC105378632	0	0	0	0
RNF19B	109	131	151	120
LOC107984936	0	2	1	1
AK2	919	1125	929	949
LOC124903969	0	0	1	0
LOC105378635	1	0	1	0
AZIN2	41	32	46	44
ZNF362	290	243	299	319
TRIM62	13	19	18	16
A3GALT2	1	0	0	0
PHC2	149	154	183	204
MIR3605	0	4	1	2
PHC2-AS1	4	1	5	4
ZSCAN20	100	69	77	79
CSMD2	17	22	11	9
LOC124903976	0	0	0	0
HMGB4	2	0	0	0
CSMD2-AS1	0	0	0	1
C1orf94	0	0	0	2
LOC105378639	0	0	0	0
LOC105378641	0	0	0	0
MIR552	0	0	0	0
LOC105378642	3	2	1	1
GJB5	1	1	0	1
GJB4	0	0	0	0
GJB3	0	2	2	4
GJA4	1	0	1	0
SMIM12	191	187	239	245
DLGAP3	1	1	0	4
GPR199P	7	9	6	2
TMEM35B	71	75	73	66
ZMYM6	360	370	342	339
LOC124903990	1	2	2	2
ZMYM1	172	183	172	192
LOC105378644	14	10	15	17
SFPQ	3137	3438	3098	2951
ZMYM4	1500	1651	1586	1655
LOC124900419	0	0	1	0
ZMYM4-AS1	2	8	3	7
KIAA0319L	762	801	927	940
NCDN	142	137	131	184
TFAP2E-AS1	0	0	2	0
TFAP2E	8	2	8	5
PSMB2	614	679	642	680
LOC105378646	0	0	1	0
C1orf216	32	43	57	67
CLSPN	272	293	237	233
AGO4	429	488	410	381
AGO1	710	695	658	607
AGO3	1286	1273	1121	1149
LOC105378647	19	12	13	12
TEKT2	1	1	0	0
ADPRS	46	72	55	54
COL8A2	5	1	1	1
TRAPPC3	149	167	175	159
MAP7D1	319	347	367	415
THRAP3	1407	1419	1535	1546
SH3D21	49	50	28	23
EVA1B	0	0	0	0
STK40	268	281	297	277
LOC124904012	14	10	10	12
LSM10	69	63	80	93
LOC124904013	0	2	0	1
OSCP1	33	37	33	43
SNORA63C	0	1	1	1
LOC107984940	2	0	4	4
MRPS15	288	359	301	394
CSF3R	7	10	2	4
LOC107984941	0	0	0	0
LOC105378648	0	0	0	0
LOC124904023	0	0	0	0
GRIK3	1	0	1	1
